SMILES,gap
C[N+](C)(C)C,10.1
CC[N+](C)(C)C,9.05
CCC[N+](C)(C)C,8.06
CC[N+](C)(C)CC,9.02
CCCC[N+](C)(C)C,7.43
CCC[N+](C)(C)CC,8.26
CC[N+](C)(CC)CC,9.12
CCCCC[N+](C)(C)C,6.71
CCCC[N+](C)(C)CC,7.57
CCC[N+](C)(C)CCC,8.23
CCC[N+](C)(CC)CC,8.47
CC[N+](CC)(CC)CC,8.96
CCCCCC[N+](C)(C)C,6.45
CCCCC[N+](C)(C)CC,7.05
CCCC[N+](C)(C)CCC,7.77
CCCC[N+](C)(CC)CC,7.93
CCC[N+](C)(CC)CCC,8.29
CCC[N+](CC)(CC)CC,8.35
CCCCCCC[N+](C)(C)C,6.21
CCCCCC[N+](C)(C)CC,6.75
CCCCC[N+](C)(C)CCC,7.26
CCCCC[N+](C)(CC)CC,7.23
CCCC[N+](C)(C)CCCC,7.67
CCCC[N+](C)(CC)CCC,7.94
CCCC[N+](CC)(CC)CC,8.1
CCC[N+](C)(CCC)CCC,8.49
CCC[N+](CC)(CC)CCC,8.48
CCCCCCCC[N+](C)(C)C,5.73
CCCCCCC[N+](C)(C)CC,6.17
CCCCCC[N+](C)(C)CCC,6.78
CCCCCC[N+](C)(CC)CC,7.27
CCCCC[N+](C)(C)CCCC,7.1
CCCCC[N+](C)(CC)CCC,7.22
CCCCC[N+](CC)(CC)CC,7.38
CCCC[N+](C)(CC)CCCC,7.93
CCCC[N+](C)(CCC)CCC,7.74
CCCC[N+](CC)(CC)CCC,7.95
CCC[N+](CC)(CCC)CCC,7.72
CCCCCCCCC[N+](C)(C)C,5.43
CCCCCCCC[N+](C)(C)CC,5.95
CCCCCCC[N+](C)(C)CCC,6.17
CCCCCCC[N+](C)(CC)CC,6.47
CCCCCC[N+](C)(C)CCCC,6.62
CCCCCC[N+](C)(CC)CCC,6.66
CCCCCC[N+](CC)(CC)CC,6.84
CCCCC[N+](C)(C)CCCCC,7.21
CCCCC[N+](C)(CC)CCCC,7.29
CCCCC[N+](C)(CCC)CCC,7.31
CCCCC[N+](CC)(CC)CCC,7.48
CCCC[N+](C)(CCC)CCCC,7.72
CCCC[N+](CC)(CC)CCCC,7.89
CCCC[N+](CC)(CCC)CCC,8.11
CCC[N+](CCC)(CCC)CCC,8.38
CCCCCCCCCC[N+](C)(C)C,5.35
CCCCCCCCC[N+](C)(C)CC,5.86
CCCCCCCC[N+](C)(C)CCC,6.12
CCCCCCCC[N+](C)(CC)CC,6.22
CCCCCCC[N+](C)(C)CCCC,6.28
CCCCCCC[N+](CC)(CC)CC,6.56
CCCCCC[N+](C)(C)CCCCC,6.89
CCCCCC[N+](C)(CC)CCCC,7.01
CCCCCC[N+](C)(CCC)CCC,7.03
CCCCCC[N+](CC)(CC)CCC,7.1
CCCCC[N+](C)(CC)CCCCC,7.57
CCCCC[N+](C)(CCC)CCCC,7.64
CCCCC[N+](CC)(CC)CCCC,7.45
CCCCC[N+](CC)(CCC)CCC,7.59
CCCC[N+](C)(CCCC)CCCC,7.75
CCCC[N+](CC)(CCC)CCCC,8.07
CCCC[N+](CCC)(CCC)CCC,
CCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCC[N+](C)(CC)CC,
CCCCCCCC[N+](C)(C)CCCC,
CCCCCCCC[N+](CC)(CC)CC,
CCCCCCC[N+](C)(C)CCCCC,
CCCCCCC[N+](C)(CC)CCCC,
CCCCCC[N+](C)(C)CCCCCC,
CCCCCC[N+](C)(CC)CCCCC,
CCCCCC[N+](C)(CCC)CCCC,
CCCCCC[N+](CC)(CC)CCCC,
CCCCCC[N+](CC)(CCC)CCC,
CCCCC[N+](C)(CCC)CCCCC,
CCCCC[N+](C)(CCCC)CCCC,
CCCCC[N+](CC)(CC)CCCCC,
CCCCC[N+](CC)(CCC)CCCC,
CCCCC[N+](CCC)(CCC)CCC,
CCCC[N+](CC)(CCCC)CCCC,
CCCC[N+](CCC)(CCC)CCCC,
CCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCC[N+](C)(CC)CC,
CCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCC[N+](C)(CC)CCCC,
CCCCCCCC[N+](C)(CCC)CCC,
CCCCCCC[N+](C)(C)CCCCCC,
CCCCCCC[N+](CC)(CC)CCCC,
CCCCCCC[N+](CC)(CCC)CCC,
CCCCCC[N+](C)(CC)CCCCCC,
CCCCCC[N+](C)(CCC)CCCCC,
CCCCCC[N+](C)(CCCC)CCCC,
CCCCCC[N+](CC)(CC)CCCCC,
CCCCCC[N+](CC)(CCC)CCCC,
CCCCCC[N+](CCC)(CCC)CCC,
CCCCC[N+](C)(CCCC)CCCCC,
CCCCC[N+](CC)(CCC)CCCCC,
CCCCC[N+](CC)(CCCC)CCCC,
CCCCC[N+](CCC)(CCC)CCCC,
CCCC[N+](CCC)(CCCC)CCCC,
CCCCCCCCCCCCC[N+](C)(C)C,
CCCCCCCCCCCC[N+](C)(C)CC,
CCCCCCCCCCC[N+](C)(C)CCC,
CCCCCCCCCC[N+](C)(C)CCCC,
CCCCCCCCCC[N+](CC)(CC)CC,
CCCCCCCCC[N+](C)(C)CCCCC,
CCCCCCCCC[N+](C)(CC)CCCC,
CCCCCCCC[N+](C)(C)CCCCCC,
CCCCCCCC[N+](C)(CC)CCCCC,
CCCCCCCC[N+](C)(CCC)CCCC,
CCCCCCCC[N+](CC)(CC)CCCC,
CCCCCCC[N+](C)(C)CCCCCCC,
CCCCCCC[N+](C)(CC)CCCCCC,
CCCCCCC[N+](C)(CCC)CCCCC,
CCCCCCC[N+](C)(CCCC)CCCC,
CCCCCCC[N+](CCC)(CCC)CCC,
CCCCCC[N+](C)(CCC)CCCCCC,
CCCCCC[N+](C)(CCCC)CCCCC,
CCCCCC[N+](CC)(CC)CCCCCC,
CCCCCC[N+](CC)(CCCC)CCCC,
CCCCCC[N+](CCC)(CCC)CCCC,
CCCCC[N+](C)(CCCCC)CCCCC,
CCCCC[N+](CC)(CCCC)CCCCC,
CCCCC[N+](CCC)(CCC)CCCCC,
CCCCC[N+](CCC)(CCCC)CCCC,
CCCC[N+](CCCC)(CCCC)CCCC,
